food0_AVE,food1_AVE,food2_AVE,genomeLength_AVE,markovBrainDeterministicGates_AVE,markovBrainGates_AVE,markovBrainGates_VAR,novelty_AVE,optimizeValue_AVE,repeated_AVE,score_AVE,switches_AVE,total_AVE,update
47.013333,44.530000,51.710000,11463.880000,5.130000,5.130000,1.831414,25.933333,58.948667,71.863333,58.948667,26.636667,96.240000,1570
46.460000,47.193333,53.123333,12910.070000,4.210000,4.210000,0.551414,26.896667,60.794667,73.086667,60.794667,28.230000,100.316667,1580
45.756667,46.156667,51.426667,11566.920000,4.100000,4.100000,0.353535,26.013333,61.608000,75.403333,61.608000,25.696667,97.583333,1590
39.986667,46.690000,53.373333,10565.550000,4.500000,4.500000,0.575758,25.906667,59.519333,73.693333,59.519333,28.960000,100.063333,1600
34.136667,47.346667,55.516667,11336.800000,4.830000,4.830000,0.566768,27.530000,62.324000,74.926667,62.324000,28.956667,102.863333,1610
28.843333,45.863333,52.103333,11159.180000,4.650000,4.650000,0.795455,25.363333,58.780667,73.126667,58.780667,27.990000,97.966667,1620
36.340000,47.503333,52.570000,10346.140000,4.460000,4.460000,0.654949,26.360000,60.444000,75.946667,60.444000,28.306667,100.073333,1630
42.136667,44.606667,50.663333,10333.960000,5.150000,5.150000,0.431818,26.053333,58.398667,72.946667,58.398667,26.336667,95.270000,1640
37.073333,50.743333,55.206667,10148.300000,5.290000,5.290000,0.430202,28.170000,62.708667,83.213333,62.708667,30.886667,105.950000,1650
48.333333,49.810000,51.866667,10598.900000,5.680000,5.680000,0.684444,27.133333,56.914000,77.850000,56.914000,31.973333,101.676667,1660
55.483333,51.580000,51.723333,10597.310000,5.640000,5.640000,1.283232,27.063333,56.767333,77.910000,56.767333,33.240000,103.303333,1670
45.590000,53.760000,55.620000,10954.940000,5.700000,5.700000,1.101010,26.800000,57.594000,82.200000,57.594000,36.990000,109.380000,1680
49.566667,49.556667,53.100000,11201.640000,5.290000,5.290000,0.955455,26.243333,52.312667,76.343333,52.312667,35.960000,102.656667,1690
56.146667,47.503333,48.026667,11061.310000,6.300000,6.300000,1.949495,26.806667,54.426000,72.513333,54.426000,29.360000,95.530000,1700
44.690000,49.293333,53.493333,11075.160000,5.990000,5.990000,2.797879,27.930000,59.022667,75.773333,59.022667,31.260000,102.786667,1710
33.613333,59.016667,58.466667,10791.470000,6.370000,6.370000,2.094040,30.030000,61.315333,89.326667,61.315333,40.120000,117.483333,1720
16.443333,66.170000,63.626667,11103.270000,5.150000,5.150000,1.462121,29.283333,59.745333,101.926667,59.745333,50.036667,129.796667,1730
40.086667,58.980000,57.753333,11319.650000,5.510000,5.510000,1.888788,27.900000,58.442000,89.566667,58.442000,41.636667,116.733333,1740
26.316667,55.533333,57.513333,10866.060000,5.540000,5.540000,1.543838,27.430000,58.773333,86.646667,58.773333,38.766667,113.046667,1750
21.666667,60.033333,61.010000,10702.700000,5.240000,5.240000,0.810505,28.716667,62.318000,92.173333,62.318000,41.946667,121.043333,1760
39.790000,51.803333,54.166667,10050.290000,5.110000,5.110000,0.886768,26.426667,54.893333,83.370000,54.893333,36.483333,105.970000,1770
21.223333,58.290000,58.743333,10581.560000,4.540000,4.540000,1.180202,28.570000,59.194667,95.630000,59.194667,41.313333,117.033333,1780
33.550000,56.250000,55.990000,9995.930000,4.660000,4.660000,1.438788,26.946667,55.544667,85.053333,55.544667,40.496667,112.240000,1790
29.053333,62.330000,60.096667,10105.560000,4.010000,4.010000,1.403939,28.486667,58.488667,94.206667,58.488667,45.670000,122.426667,1800
27.170000,64.203333,62.476667,10288.520000,4.130000,4.130000,1.407172,29.283333,60.828667,97.943333,60.828667,47.036667,126.680000,1810
