0-correct_AVE,0-incorrect_AVE,1-correct_AVE,1-incorrect_AVE,2-correct_AVE,2-incorrect_AVE,3-correct_AVE,3-incorrect_AVE,4-correct_AVE,4-incorrect_AVE,5-correct_AVE,5-incorrect_AVE,6-correct_AVE,6-incorrect_AVE,7-correct_AVE,7-incorrect_AVE,8-correct_AVE,8-incorrect_AVE,9-correct_AVE,9-incorrect_AVE,genomeLength_AVE,optimizeValue_AVE,score_AVE,totalCorrect_AVE,totalIncorrect_AVE,update
0.520000,0.930000,0.430000,0.952000,0.390000,0.875000,0.500000,0.915000,0.530000,0.968500,0.550000,0.980000,0.450000,0.983000,0.370000,0.862500,0.530000,0.956000,0.370000,0.894000,5005.100000,7.308750,7.308750,4.640000,41.940000,640
0.470000,0.960000,0.480000,0.916000,0.410000,0.835500,0.380000,0.788500,0.520000,0.960000,0.470000,0.990000,0.460000,0.980000,0.470000,0.908500,0.460000,0.990000,0.490000,0.874500,5235.670000,7.141250,7.141250,4.610000,41.380000,650
0.360000,0.950000,0.450000,0.933000,0.410000,0.854000,0.490000,0.930000,0.480000,0.990000,0.490000,0.970000,0.520000,0.970000,0.500000,0.906000,0.430000,0.922000,0.520000,0.835500,5242.360000,7.203750,7.203750,4.650000,41.660000,660
0.510000,0.950000,0.480000,0.960000,0.520000,0.878500,0.400000,0.944500,0.510000,0.990000,0.440000,0.982500,0.520000,0.970000,0.460000,0.938000,0.520000,0.974000,0.480000,0.954500,5182.760000,7.372500,7.372500,4.840000,42.900000,670
0.540000,0.962500,0.460000,0.924500,0.480000,0.878000,0.390000,0.890500,0.510000,0.980000,0.460000,0.850000,0.470000,0.944000,0.460000,0.920000,0.490000,0.955500,0.400000,0.877500,5265.140000,7.138750,7.138750,4.660000,41.280000,680
0.460000,0.970000,0.420000,0.917500,0.480000,0.913000,0.370000,0.859500,0.410000,0.950000,0.580000,0.980000,0.500000,0.984000,0.450000,0.860000,0.470000,0.977500,0.490000,0.943500,5016.060000,7.355625,7.355625,4.630000,42.130000,690
0.460000,0.957000,0.480000,0.929500,0.470000,0.845000,0.530000,0.931500,0.490000,0.975000,0.470000,0.972500,0.450000,0.980000,0.380000,0.809000,0.420000,0.971500,0.540000,0.908000,4760.800000,7.196250,7.196250,4.690000,41.720000,700
0.410000,0.960500,0.550000,0.938500,0.350000,0.763500,0.510000,0.881500,0.510000,0.975000,0.470000,0.946000,0.460000,0.980000,0.340000,0.739000,0.500000,0.957000,0.390000,0.796500,4395.890000,6.915625,6.915625,4.490000,40.190000,710
0.450000,0.919500,0.370000,0.919500,0.440000,0.827500,0.390000,0.859000,0.530000,0.962000,0.490000,0.890000,0.560000,0.954500,0.370000,0.702500,0.420000,0.934000,0.410000,0.901000,4093.440000,7.033125,7.033125,4.430000,39.950000,720
0.520000,0.929000,0.390000,0.949500,0.450000,0.902000,0.460000,0.932000,0.460000,0.948000,0.550000,0.943500,0.470000,1.000000,0.360000,0.808500,0.420000,0.935500,0.530000,0.932500,4060.100000,7.310000,7.310000,4.610000,41.800000,730
0.510000,0.998000,0.500000,0.945500,0.420000,0.785500,0.520000,0.946000,0.510000,0.930000,0.520000,0.986500,0.490000,0.994000,0.430000,0.880500,0.480000,0.971500,0.320000,0.915500,3720.850000,7.201250,7.201250,4.700000,42.040000,740
0.500000,0.940000,0.410000,0.917500,0.390000,0.757500,0.500000,0.867500,0.490000,0.930000,0.450000,0.979500,0.510000,0.970000,0.470000,0.944000,0.490000,0.934000,0.350000,0.842500,3435.690000,7.032500,7.032500,4.560000,40.840000,750
0.450000,0.980000,0.490000,0.859500,0.250000,0.571500,0.480000,0.860500,0.510000,0.957500,0.500000,0.949000,0.480000,0.937500,0.460000,0.919500,0.480000,0.897500,0.400000,0.914000,3017.040000,6.737500,6.737500,4.500000,39.720000,760
0.460000,0.990000,0.490000,0.905000,0.250000,0.627000,0.370000,0.809000,0.580000,0.965500,0.450000,0.952000,0.460000,0.980500,0.430000,0.893000,0.520000,0.955000,0.470000,0.899000,2997.340000,6.983125,6.983125,4.480000,40.370000,770
0.480000,1.000000,0.400000,0.879500,0.440000,0.913500,0.390000,0.788500,0.420000,0.913500,0.480000,0.926500,0.580000,0.980000,0.480000,0.921500,0.430000,0.942500,0.400000,0.943500,3216.610000,7.246875,7.246875,4.500000,41.450000,780
0.450000,0.960000,0.420000,0.806000,0.470000,0.906000,0.370000,0.705500,0.530000,0.928000,0.450000,0.967000,0.410000,0.958000,0.390000,0.829500,0.520000,0.907500,0.510000,0.893500,3371.950000,6.863750,6.863750,4.520000,39.840000,790
0.480000,0.942000,0.430000,0.880000,0.380000,0.772500,0.380000,0.780500,0.340000,0.850000,0.430000,0.950000,0.460000,0.990000,0.530000,0.950500,0.520000,0.956500,0.460000,0.805000,3860.010000,6.903125,6.903125,4.410000,39.930000,800
0.480000,0.977500,0.540000,0.925000,0.370000,0.783000,0.440000,0.780000,0.450000,0.897500,0.500000,0.983000,0.460000,1.000000,0.450000,0.889500,0.510000,0.961000,0.360000,0.842000,4549.720000,6.980625,6.980625,4.560000,40.650000,810
0.390000,0.868000,0.440000,0.900000,0.570000,0.876000,0.390000,0.755000,0.420000,0.916000,0.520000,0.928000,0.470000,0.970000,0.420000,0.869000,0.390000,0.875500,0.400000,0.804500,4315.100000,6.846250,6.846250,4.410000,39.420000,820
0.570000,0.942500,0.480000,0.949500,0.490000,0.944000,0.340000,0.829500,0.380000,0.814000,0.490000,0.980000,0.420000,0.990000,0.500000,0.905500,0.430000,0.838500,0.450000,0.873500,4026.490000,7.083125,7.083125,4.550000,40.790000,830
0.490000,0.960000,0.560000,0.964500,0.430000,0.907500,0.430000,0.849500,0.450000,0.902500,0.510000,1.000000,0.480000,0.967500,0.390000,0.990000,0.470000,0.920500,0.450000,0.969500,3877.080000,7.443750,7.443750,4.660000,42.480000,840
0.450000,0.975000,0.490000,0.952000,0.520000,0.922000,0.480000,0.954000,0.490000,0.919500,0.510000,0.997500,0.530000,1.000000,0.510000,0.982500,0.370000,0.906000,0.490000,0.955000,4089.520000,7.438125,7.438125,4.840000,43.010000,850
0.460000,0.990000,0.500000,0.921500,0.430000,0.842500,0.440000,0.877000,0.530000,0.963500,0.450000,1.000000,0.460000,0.990000,0.450000,1.000000,0.440000,0.889000,0.500000,0.952000,3799.950000,7.399375,7.399375,4.660000,42.450000,860
0.550000,0.970000,0.490000,0.925000,0.350000,0.853000,0.500000,0.930500,0.460000,0.970000,0.550000,0.910000,0.460000,0.990000,0.500000,0.990000,0.460000,0.944000,0.450000,0.932000,3423.580000,7.196250,7.196250,4.770000,42.280000,870
0.570000,1.000000,0.470000,0.990500,0.360000,0.880000,0.470000,0.988000,0.450000,0.942000,0.510000,0.897500,0.540000,0.960000,0.460000,0.946000,0.430000,0.936500,0.450000,0.910000,3106.660000,7.397500,7.397500,4.710000,42.540000,880
0.470000,0.970000,0.520000,0.974000,0.370000,0.747500,0.380000,0.960000,0.520000,0.992500,0.500000,0.936000,0.510000,0.960000,0.450000,0.966500,0.500000,0.900000,0.470000,0.923000,3160.930000,7.249375,7.249375,4.690000,41.950000,890
0.640000,1.000000,0.410000,0.964000,0.530000,0.930000,0.450000,0.947500,0.420000,0.990000,0.530000,0.990000,0.430000,0.975000,0.460000,0.990000,0.550000,0.950500,0.470000,0.982500,2916.530000,7.585625,7.585625,4.890000,43.730000,900
0.460000,0.990000,0.470000,0.903500,0.470000,0.860000,0.460000,0.931500,0.530000,0.970000,0.420000,0.970000,0.570000,0.963000,0.360000,0.834000,0.440000,0.944000,0.470000,0.900000,2637.920000,7.177500,7.177500,4.650000,41.660000,910
0.440000,0.992500,0.510000,0.949000,0.360000,0.781500,0.390000,0.928000,0.480000,0.932000,0.510000,0.970000,0.460000,0.968000,0.490000,0.962000,0.490000,0.884000,0.520000,0.889000,2603.380000,7.244375,7.244375,4.650000,41.650000,920
0.470000,0.988000,0.450000,0.916000,0.430000,0.776500,0.430000,0.865500,0.470000,1.000000,0.390000,0.947500,0.470000,0.916000,0.500000,0.906000,0.460000,0.860000,0.420000,0.972500,2253.710000,7.258125,7.258125,4.490000,41.230000,930
0.410000,0.970000,0.430000,0.891000,0.470000,0.880000,0.370000,0.866500,0.530000,0.980000,0.310000,0.690000,0.530000,0.990000,0.500000,0.960000,0.400000,0.764000,0.500000,0.980000,2355.280000,7.005000,7.005000,4.450000,40.380000,940
0.460000,0.972000,0.470000,0.880500,0.450000,0.900000,0.440000,0.934500,0.440000,0.980000,0.370000,0.670000,0.600000,0.957500,0.360000,0.962500,0.330000,0.696000,0.520000,0.958000,2386.900000,6.964375,6.964375,4.440000,40.110000,950
0.480000,0.970000,0.440000,0.948500,0.430000,0.923500,0.540000,0.949000,0.580000,0.978000,0.320000,0.618500,0.410000,0.944500,0.410000,0.984000,0.340000,0.678000,0.480000,0.932500,2422.090000,6.956875,6.956875,4.430000,40.190000,960
